Date,Realized_PnL,Vine_VaR,Vine_ES,Vine_Std,Vine_Hit,Indep_VaR,Indep_ES,Indep_Std,Indep_Hit,n_I,n_constituents
2025-06-11 12:00:00,138.46777996950007,-109.76161639974386,-150.74724618479976,592.9776283096774,0,-468.98864982328746,-1016.8883998235156,658.8727252738867,0,446.8311353242732,7
2025-06-12 12:00:00,-19.11535532044785,-107.86896434507905,-147.79031125794793,588.9764986012259,0,-494.30171119012783,-1017.8397113635277,684.1634943811787,0,448.0566331633322,7
2025-06-13 12:00:00,-134.23970430169,-93.51792722842053,-127.39141077586764,560.718607596036,1,-384.78708303723187,-875.9008012123076,630.5887265923818,0,447.93131006224155,7
2025-06-16 12:00:00,-119.55920129326562,-298.4626120842851,-334.60791961555,615.5190255094072,0,-649.5592208074092,-1166.377587861679,792.1276170506545,0,447.69254323878897,7
2025-06-17 12:00:00,-64.80738632528126,-111.6339364522841,-146.99805943858613,571.1036765803011,0,-484.0822522289111,-1003.613953265526,671.0762449646304,0,449.4183367052427,7
2025-06-18 12:00:00,33.055242036443246,-100.08567272840106,-129.81423148229416,608.513514580525,0,-395.9350631959665,-841.1809580511035,579.626330593122,0,448.1520735347123,7
2025-06-20 12:00:00,-78.68391351152664,-199.3975221254365,-235.0904586913598,553.8292232514268,0,-548.107321835294,-1030.1298121099721,611.4125772580239,0,450.81807007238973,7
2025-06-23 12:00:00,854.1765680311614,-303.2473099014336,-345.253195853777,568.5295745933435,0,-626.5424673355387,-1104.7533165436737,613.7755999221317,0,450.7809337040822,7
2025-06-24 12:00:00,-265.80795268083386,-145.68986529368914,-205.9485945448919,559.6105697073034,1,-548.9210077456921,-1095.7819761667788,609.5988192263337,0,456.1815805304293,7
2025-06-25 12:00:00,152.64008294269536,-146.9026968449474,-220.04448889956905,520.7651421664794,0,-561.3804415276796,-1085.5628768599206,653.3673100348356,0,452.2908829333569,7
2025-06-26 12:00:00,-30.09782120069178,-149.5298314750059,-226.36990841044118,529.472024337819,0,-545.0964231794627,-1123.986700485093,670.7805871987298,0,450.55528505744746,7
2025-06-27 12:00:00,-79.68086918213702,-146.82412689446508,-216.02306001774326,540.8819385901282,0,-533.4060253974742,-1076.7463767727272,627.8516525108854,0,450.28735501821035,7
2025-06-30 12:00:00,-381.52041112846007,-397.5425374003171,-445.7160790966352,681.9455762952801,0,-738.1784385223259,-1255.8547747638227,664.1458659472988,0,450.4076793338438,7
2025-07-01 12:00:00,359.5668761455674,-172.53502143727079,-215.206258165433,437.9047625330145,0,-471.1701319250054,-952.6644824020568,544.7285705831097,0,455.5197785341035,7
2025-07-02 12:00:00,191.28618270149389,-181.0547515214087,-231.94369304848362,420.88943976589314,0,-447.0040487494379,-862.5325063906934,511.8064573090368,0,452.9847582717978,7
