Date,G_PC_1,G_PC_2,G_PC_3,L_PC_AAPL_1,L_PC_AAPL_2,L_PC_AAPL_3,L_PC_AMZN_1,L_PC_AMZN_2,L_PC_AMZN_3,L_PC_GLD_1,L_PC_GLD_2,L_PC_GLD_3,L_PC_GLD_4,L_PC_GLD_5,L_PC_GOOGL_1,L_PC_GOOGL_2,L_PC_GOOGL_3,L_PC_GOOGL_4,L_PC_IWM_1,L_PC_IWM_2,L_PC_IWM_3,L_PC_JPM_1,L_PC_JPM_2,L_PC_JPM_3,L_PC_MSFT_1,L_PC_MSFT_2,L_PC_MSFT_3,L_PC_NFLX_1,L_PC_NFLX_2,L_PC_NFLX_3,L_PC_NVDA_1,L_PC_NVDA_2,L_PC_NVDA_3,L_PC_QQQ_1,L_PC_QQQ_2,L_PC_QQQ_3,L_PC_SPY_1,L_PC_SPY_2,L_PC_SPY_3,L_PC_TLT_1,L_PC_TLT_2,L_PC_TLT_3,L_PC_TLT_4,L_PC_TSLA_1,L_PC_TSLA_2,L_PC_TSLA_3,L_PC_V_1,L_PC_V_2,L_PC_V_3
2022-02-08,0.1478259,0.24644226,0.4505572,0.63978714,0.20322734,0.4470805,0.23440881,0.20156594,0.86003345,0.7753817,0.007221824,0.10081639,0.78618884,0.73135376,0.21100414,0.6321652,0.4347912,0.3968966,0.32103565,0.50487304,0.44340587,0.9218364,0.36974964,0.3392935,0.42534122,0.29281974,0.24698864,0.12038628,0.22113451,0.6675445,0.36860353,0.5421481,0.32028863,0.106672145,0.60817325,0.33641887,0.7258391,0.67974067,0.38412845,0.6164589,0.6429392,0.7455475,0.7453754,0.5640744,0.17121127,0.3190664,0.8253687,0.40918577,0.5408261
2022-02-09,0.24187323,0.7599069,0.8462336,0.24662732,0.74588394,0.20491815,0.6816303,0.6888563,0.5081564,0.80316556,0.9810632,0.8684779,0.8519446,0.011939691,0.63876414,0.84463185,0.18531922,0.8257435,0.34096748,0.14220929,0.3675134,0.29677612,0.8166824,0.06566377,0.027650734,0.80602556,0.7715331,0.7614365,0.7070379,0.1462195,0.74042106,0.5938051,0.25488722,0.89150333,0.7248753,0.21310003,0.5601154,0.41414928,0.16370133,0.8425206,0.9410536,0.34355843,0.009465529,0.15955956,0.6721495,0.83186007,0.62410814,0.65326995,0.86557984
2022-02-10,0.4883007,0.6271228,0.6706805,0.27142343,0.5170778,0.69853497,0.49960726,0.23866329,0.51317024,0.20287822,0.01417103,0.3637893,0.57310694,0.7627135,0.5025239,0.28356946,0.36627963,0.5250665,0.50752574,0.701614,0.4054334,0.34880444,0.21547939,0.8520401,0.90372044,0.6527864,0.6125275,0.6343943,0.30628103,0.27867994,0.69251174,0.24855746,0.3120471,0.53164554,0.6186638,0.46263054,0.61626095,0.7131444,0.54151267,0.73378396,0.68083125,0.88537234,0.8546132,0.20908609,0.5801996,0.25394896,0.7444529,0.38933727,0.6491211
2022-02-11,0.92342097,0.9504055,0.084481224,0.37450427,0.24874859,0.84548765,0.5490843,0.18873821,0.1662764,0.14205769,0.709922,0.384206,0.4837979,0.5151087,0.6006607,0.11163442,0.37883666,0.47933015,0.91291267,0.5465384,0.3151904,0.27065572,0.7044986,0.324491,0.6892329,0.60066473,0.49650934,0.10920114,0.6298735,0.9306294,0.8839356,0.7886212,0.9541873,0.7894336,0.058878217,0.53563696,0.41682804,0.18669875,0.8615046,0.86173016,0.5795382,0.37692112,0.27543306,0.37364966,0.8205503,0.32970417,0.26523724,0.72370976,0.2925954
2022-02-14,0.92172027,0.8924014,0.09180943,0.58962005,0.100819856,0.9257145,0.45667908,0.102902494,0.8194021,0.7879353,0.014192738,0.7833065,0.9449618,0.7100997,0.60072935,0.011086579,0.41397455,0.846813,0.6929682,0.76165086,0.60054535,0.4429938,0.23440611,0.8238708,0.72404855,0.059020597,0.024125673,0.24073298,0.64902204,0.834316,0.3358955,0.112340845,0.75941014,0.678179,0.6558311,0.89743245,0.9448702,0.9371396,0.51841474,0.16587399,0.5270397,0.102525346,0.630334,0.22211388,0.062140174,0.11333748,0.35752562,0.18982902,0.09731148
2022-02-15,0.046280853,0.10836971,0.13437714,0.6774627,0.28356412,0.43106952,0.19122003,0.69628817,0.81064487,0.9493923,0.20078336,0.28767028,0.38001388,0.3793628,0.17796096,0.8426709,0.57608587,0.6718515,0.41051358,0.88762975,0.64471656,0.8862282,0.44669822,0.56257427,0.61804485,0.25518274,0.3127658,0.06661962,0.12563989,0.7665941,0.17956151,0.63023007,0.45776883,0.044249013,0.7095669,0.77124155,0.60053796,0.37533346,0.5000524,0.10737073,0.11767955,0.19155866,0.78191596,0.8713771,0.23870069,0.6078441,0.9462962,0.39993003,0.45007086
2022-02-16,0.83469105,0.8692704,0.8520633,0.1301657,0.74353033,0.2161121,0.84035647,0.520224,0.4264809,0.13918471,0.8399003,0.8894438,0.7679144,0.08070706,0.86878574,0.83333313,0.092374586,0.6524047,0.10028175,0.035039727,0.35768703,0.11877539,0.9024803,0.17182828,0.12950549,0.8550652,0.91888887,0.9602766,0.84165674,0.048596162,0.96786094,0.7652825,0.49768174,0.9685474,0.22404644,0.034783598,0.012899085,0.07093754,0.13003421,0.9356889,0.9487069,0.30938497,0.047070753,0.06908183,0.8254773,0.87933177,0.062209312,0.87619156,0.9543908
2022-02-17,0.54873306,0.43601897,0.5439407,0.42909604,0.4360529,0.47988924,0.6138771,0.53602517,0.33382297,0.9498551,0.13710356,0.69320387,0.736003,0.90041155,0.5404332,0.5749688,0.53978795,0.7931638,0.32804018,0.50769246,0.08911882,0.71782446,0.284823,0.5800732,0.50034326,0.754281,0.8180783,0.4838142,0.47874838,0.47080195,0.01693994,0.015358981,0.08320378,0.3959299,0.23256944,0.31583402,0.42861947,0.45650053,0.779573,0.4852842,0.8823773,0.9246533,0.71154094,0.60195297,0.8834522,0.4792572,0.80854654,0.8305432,0.19177414
2022-02-18,0.8992291,0.9487357,0.29071042,0.74110883,0.8621281,0.31169415,0.7664,0.6302498,0.6587999,0.030722676,0.19729762,0.8013422,0.14373596,0.5585323,0.77032936,0.4905456,0.63623136,0.31735125,0.79703206,0.3168221,0.62190074,0.18500935,0.5961069,0.65790087,0.4685735,0.66824263,0.5191643,0.49217367,0.5143604,0.46173418,0.46748734,0.5978438,0.8664616,0.935648,0.103821814,0.3291849,0.5317638,0.18692422,0.55002743,0.23074915,0.06407162,0.59225875,0.9663903,0.7576333,0.8124029,0.7469873,0.18853578,0.5489165,0.18879445
2022-02-22,0.42307255,0.16762401,0.34312344,0.36827248,0.2103072,0.9078677,0.43600544,0.31728324,0.5179684,0.4454847,0.42433053,0.45574275,0.02285061,0.93337584,0.097651996,0.088474706,0.6207295,0.1789424,0.8878892,0.89579344,0.73140854,0.60623896,0.18320195,0.8256805,0.43499902,0.23849468,0.086533435,0.45630655,0.34547377,0.9404651,0.0634417,0.10461276,0.4317355,0.51804775,0.9894121,0.95504963,0.8849776,0.8382267,0.6290145,0.7125481,0.7040907,0.9239209,0.91146964,0.8465004,0.20000476,0.199521,0.31844196,0.19584072,0.3934005
